product_id,brand,title,price,category,rating
B00N1997B0,GUESS,"""Basic G Logo Heart Link Bracelet, One Size, One Size, Silver Tone",49.0,New season,4.2
B09C1ZH9NH,Other,"""Contemporary Kundan Collection"" Indian Bollywood Desire Royal Mughal Classical Style Kundan Look Jewelry Mangtika, Mathapatti, Nose rings In Antique Gold Tone For Women",32.29,Outlet,4.1
B087Q5LS5W,Other,"'ChainsHouse Stainless Steel Cuban Link Bracelet, 8mm/12mm/17mm Width, 7.5''/8.3''/9'', 18K Gold Plated Chain Wrist Bracelets for Men Women, Send Gift Box'",76.98,Accessories,4.4
B09GY81DSV,Other,'Dankadi Men 925 Sterling Silver Bracelet Fashion Italy 5MM Square Rolo Link Round Box Chain Bangle 6.5 ''7'' 7.5 ''8'' 8.5'' 9'' Fine Cuff Jewelry Gift',173.06,Accessories,3.6
B09JJNXNGV,Other,'H&Beautimer Punk Men Box chain Bracelet 925 Sterling Silver 4.5mm-6.5 ''7 ''7.5'' 7.5'' 8'' 8.5'' 9'' Solid Cuff Chain Bangle Link For Boys Fashion Jewelry Gift',204.28,Accessories,4.8
B0D3PPSSV9,Other,'HZMAN Snake Chain Necklace for Men Women Thin Stainless Steel Chain Necklace Hip Hop Men's Choker Necklace 16''-30'' Jewelry Gift',64.51,Accessories,4.2
B078S1M79V,Other,"'VNOX Buddhism Jewelry Lotus Flower Om Tri-Color Braided Leather Magnetic Clasp Wristband Bracelet,8.3'''",61.64,Accessories,4.1
B07VVPWMMV,Centrino,(1193) Casual-Men Shoes,58.0,Shoes,3.4
B07VVPWMMV,Centrino,(1193) Casual-Men Shoes,58.0,Made for Amazon,3.4
B08B3KS2VB,Other,(12 STYLE) MESSI Backpack Casual Daypack School Bookbag BAG for Boys Girls,95.0,Luggage,4.8
B0821TPVQG,Centrino,(7718) Men Shoes,35.0,Made for Amazon,3.3
B06XDNZS61,Other,(Medium(1 PC)) - Germanium Recovery Compression Outdoor Full Length Leg Knee Sleeve(1 PC),109.15,Sportswear,4.1
B07PLQZK6M,Other,"(Pink-Yoga Bag) - Large Yoga Mat Bag and Carriers Yoga Tote Sling Bag, Gym Duffel Fitness Bag with Shoe Compartment for Men Womens",30.0,Outlet,4.5
B07FWJ81TL,Other,066BF Colombian Shapers and Postpartum Shapers for Women,385.5,Most-Loved Fashion,4.0
